layer1,layer2,layer3,layer4
0.3,0.28,0.24,0.17
0.39,0.41,0.4,0.28
0.42,0.48,0.5,0.35
0.43,0.51,0.54,0.39
0.44,0.52,0.57,0.41
0.45,0.54,0.58,0.41
0.45,0.54,0.59,0.43
0.44,0.52,0.58,0.42
0.45,0.57,0.62,0.45
0.44,0.54,0.61,0.44
0.45,0.56,0.61,0.44
0.45,0.57,0.62,0.46
0.45,0.58,0.65,0.47
0.46,0.59,0.65,0.48
0.46,0.6,0.64,0.47
0.46,0.58,0.63,0.47
0.45,0.57,0.62,0.45
0.46,0.58,0.63,0.46
0.46,0.59,0.65,0.47
0.46,0.58,0.65,0.48
0.47,0.59,0.66,0.48
0.46,0.58,0.65,0.48
0.46,0.59,0.66,0.48
0.46,0.59,0.65,0.49
0.45,0.59,0.65,0.48
0.45,0.59,0.65,0.48
0.46,0.59,0.68,0.49
0.46,0.59,0.67,0.49
0.46,0.59,0.66,0.49
0.46,0.59,0.66,0.49
0.43,0.54,0.59,0.48
0.44,0.56,0.62,0.51
0.44,0.57,0.63,0.52
0.45,0.59,0.65,0.52
0.46,0.6,0.66,0.52
0.46,0.62,0.68,0.52
0.47,0.64,0.7,0.52
0.48,0.65,0.7,0.53
0.48,0.66,0.7,0.52
0.48,0.66,0.7,0.51
0.48,0.66,0.69,0.5
0.48,0.65,0.68,0.49
0.48,0.64,0.66,0.48
0.48,0.64,0.65,0.46
0.47,0.63,0.63,0.45
0.47,0.62,0.62,0.44
0.46,0.62,0.61,0.43
0.46,0.61,0.6,0.42
0.46,0.61,0.59,0.41
0.46,0.6,0.57,0.39
0.45,0.56,0.5,0.31
0.46,0.55,0.48,0.31
0.45,0.55,0.49,0.32
0.46,0.56,0.5,0.33
0.46,0.57,0.5,0.33
0.46,0.57,0.51,0.34
0.46,0.57,0.5,0.33
0.46,0.56,0.5,0.33
0.46,0.56,0.5,0.33
0.46,0.57,0.5,0.34
0.46,0.57,0.5,0.34
0.46,0.57,0.5,0.34
0.46,0.57,0.51,0.35
0.45,0.57,0.51,0.35
0.45,0.57,0.51,0.35
0.45,0.57,0.51,0.35
0.45,0.57,0.51,0.35
0.45,0.57,0.51,0.36
0.45,0.57,0.51,0.36
0.45,0.57,0.51,0.36
0.45,0.57,0.51,0.36
0.45,0.57,0.51,0.36
